Total_interspersed_repeats_percentage_of_sequence	masked_proportion	masked_base	CRE/SLACS_number_of_elements	CRE/SLACS_length_occupied	CRE/SLACS_percentage_of_sequence	L2/CR1/Rex_number_of_elements	L2/CR1/Rex_length_occupied	L2/CR1/Rex_percentage_of_sequence	R1/LOA/Jockey_number_of_elements	R1/LOA/Jockey_length_occupied	R1/LOA/Jockey_percentage_of_sequence	R2/R4/NeSL_number_of_elements	R2/R4/NeSL_length_occupied	R2/R4/NeSL_percentage_of_sequence	RTE/Bov-B_number_of_elements	RTE/Bov-B_length_occupied	RTE/Bov-B_percentage_of_sequence	L1/CIN4_number_of_elements	L1/CIN4_length_occupied	L1/CIN4_percentage_of_sequence	BEL/Pao_number_of_elements	BEL/Pao_length_occupied	BEL/Pao_percentage_of_sequence	Ty1/Copia_number_of_elements	Ty1/Copia_length_occupied	Ty1/Copia_percentage_of_sequence	Gypsy/DIRS1_number_of_elements	Gypsy/DIRS1_length_occupied	Gypsy/DIRS1_percentage_of_sequence	Retroviral_number_of_elements	Retroviral_length_occupied	Retroviral_percentage_of_sequence	hobo-Activator_number_of_elements	hobo-Activator_length_occupied	hobo-Activator_percentage_of_sequence	Tc1-IS630-Pogo_number_of_elements	Tc1-IS630-Pogo_length_occupied	Tc1-IS630-Pogo_percentage_of_sequence	En-Spm_number_of_elements	En-Spm_length_occupied	En-Spm_percentage_of_sequence	MULE-MuDR_number_of_elements	MULE-MuDR_length_occupied	MULE-MuDR_percentage_of_sequence	PiggyBac_number_of_elements	PiggyBac_length_occupied	PiggyBac_percentage_of_sequence	Tourist/Harbinger_number_of_elements	Tourist/Harbinger_length_occupied	Tourist/Harbinger_percentage_of_sequence	Alu/B1_number_of_elements	Alu/B1_length_occupied	Alu/B1_percentage_of_sequence	MIRs_number_of_elements	MIRs_length_occupied	MIRs_percentage_of_sequence	LINE1_number_of_elements	LINE1_length_occupied	LINE1_percentage_of_sequence	LINE2_number_of_elements	LINE2_length_occupied	LINE2_percentage_of_sequence	L3/CR1_number_of_elements	L3/CR1_length_occupied	L3/CR1_percentage_of_sequence	RTE_number_of_elements	RTE_length_occupied	RTE_percentage_of_sequence	ERVL_number_of_elements	ERVL_length_occupied	ERVL_percentage_of_sequence	ERVL-MaLRs_number_of_elements	ERVL-MaLRs_length_occupied	ERVL-MaLRs_percentage_of_sequence	ERV_classI_number_of_elements	ERV_classI_length_occupied	ERV_classI_percentage_of_sequence	ERV_classII_number_of_elements	ERV_classII_length_occupied	ERV_classII_percentage_of_sequence	hAT-Charlie_number_of_elements	hAT-Charlie_length_occupied	hAT-Charlie_percentage_of_sequence	TcMar-Tigger_number_of_elements	TcMar-Tigger_length_occupied	TcMar-Tigger_percentage_of_sequence	ALUs_number_of_elements	ALUs_length_occupied	ALUs_percentage_of_sequence	B2-B4_number_of_elements	B2-B4_length_occupied	B2-B4_percentage_of_sequence	IDs_number_of_elements	IDs_length_occupied	IDs_percentage_of_sequence
0.2041	0.2304	228443367	0	0	0	73215	16044954	0.0162	0	0	0	1141	517174	5.00E-04	12488	3731745	0.0038	2041	1079321	0.0011	148	30700	0	523	206952	2.00E-04	7100	2246527	0.0023	6500	1684927	0.0017	153679	36014838	0.0363	170158	41917976	0.0423	0	0	0	828	217278	2.00E-04	18322	4735225	0.0048	21094	4860894	0.0049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3337	0.3493	853590152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	371615	56363132	0.0231	521374	387595616	0.1586	250122	71625374	0.0293	28881	6740972	0.0028	6665	1666569	7.00E-04	75438	35687245	0.0146	124543	44624073	0.0183	42977	19877268	0.0081	1090	500795	2.00E-04	149404	30744564	0.0126	35213	12573832	0.0051	0	0	0	0	0	0	0	0	0
0.2504	0.2747	232098244	0	0	0	93106	26427033	0.0313	567	85441	1.00E-04	9650	4177967	0.0049	38707	13373638	0.0158	10114	2964330	0.0035	1729	1093584	0.0013	616	197247	2.00E-04	5093	2504380	0.003	2037	1249514	0.0015	133896	34198981	0.0405	189568	58225619	0.0689	0	0	0	892	169401	2.00E-04	11363	2851705	0.0034	23528	6149236	0.0073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.2996	0.337	296799728	0	0	0	73815	28292541	0.0321	1795	924559	0.001	1280	578331	7.00E-04	7905	3413841	0.0039	2966	3415471	0.0039	750	390966	4.00E-04	827	332617	4.00E-04	3613	2491505	0.0028	3895	1114847	0.0013	149607	54514619	0.0619	152792	57610532	0.0654	0	0	0	877	262063	3.00E-04	21004	12520043	0.0142	17917	5352621	0.0061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3234	0.3607	327866565	0	0	0	90282	41006586	0.0451	1758	941770	0.001	5710	2770274	0.003	6371	2994445	0.0033	5469	5075811	0.0056	3537	3197504	0.0035	0	0	0	5590	6693583	0.0074	902	1049400	0.0012	142676	53985846	0.0594	159374	55379499	0.0609	0	0	0	1501	584908	6.00E-04	22066	12590934	0.0139	17419	5230163	0.0058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1115	0.1339	162330281	0	0	0	133445	63572307	0.0525	0	0	0	0	0	0	3343	3508533	0.0029	34	9618	0	0	0	0	0	0	0	15	1896	0	45090	31312273	0.0258	1306	266434	2.00E-04	287	58044	0	0	0	0	0	0	0	0	0	0	3349	428082	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.4217	0.4568	821776446	0	0	0	552208	148263910	0.0824	0	0	0	57484	19979313	0.0111	118101	41496010	0.0231	45569	29161186	0.0162	4201	6985216	0.0039	12940	6378231	0.0035	50691	66136935	0.0368	6558	8157313	0.0045	751272	134571748	0.0748	443259	88437921	0.0492	0	0	0	0	0	0	0	0	0	134164	18077731	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.0562	0.0723	81775516	0	0	0	124037	46473161	0.0411	0	0	0	0	0	0	246	224207	2.00E-04	39	10691	0	0	0	0	0	0	0	422	92097	1.00E-04	25318	11163932	0.0099	1648	358173	3.00E-04	293	60297	1.00E-04	0	0	0	0	0	0	0	0	0	5015	658469	6.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.1149	0.1564	18717662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1066	1009695	0.0084	0	0	0	1342	1636538	0.0137	2759	5987247	0.05	0	0	0	919	431897	0.0036	723	204640	0.0017	0	0	0	3157	2957958	0.0247	0	0	0	300	140730	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.3206	0.3413	300518561	0	0	0	98667	44794085	0.0509	761	174936	2.00E-04	10601	6558234	0.0074	23008	8440745	0.0096	14647	11433258	0.013	1459	1886741	0.0021	1556	685753	8.00E-04	14783	11382822	0.0129	10771	8260291	0.0094	163642	64305331	0.073	145183	50363059	0.0572	0	0	0	221	184628	2.00E-04	15435	4889221	0.0056	19559	6920390	0.0079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
