Species,Label,Unmapped rate,Uniquely mapped rate,Multiple mapped rate,MQI
Acanthochromis polyacanthus,Actinopteri,12.43,84.02,3.54,0.906370461
Acanthochromis polyacanthus,Actinopteri,12.58,83.65,3.77,0.903834449
Acanthochromis polyacanthus,Actinopteri,9.24,87.04,3.72,0.926759992
Acanthochromis polyacanthus,Actinopteri,8.24,86.71,5.05,0.924528302
Acanthochromis polyacanthus,Actinopteri,11.14,85.82,3.03,0.918543315
Acanthochromis polyacanthus,Actinopteri,9.42,85.81,4.77,0.918441875
Acanthochromis polyacanthus,Actinopteri,11.49,84.83,3.68,0.911814432
Acanthochromis polyacanthus,Actinopteri,14.2,82.36,3.44,0.89511057
Acanthochromis polyacanthus,Actinopteri,10.27,86,3.72,0.919760601
Acanthochromis polyacanthus,Actinopteri,10.37,86.08,3.55,0.920267803
Acanthochromis polyacanthus,Actinopteri,12.14,84.52,3.34,0.909717996
Acanthochromis polyacanthus,Actinopteri,11.45,85.3,3.25,0.914992899
Acanthochromis polyacanthus,Actinopteri,11.73,84.97,3.3,0.912761209
Acanthochromis polyacanthus,Actinopteri,11.15,85.14,3.71,0.913910868
Acanthochromis polyacanthus,Actinopteri,13.82,82.55,3.63,0.896395483
Acanthochromis polyacanthus,Actinopteri,9.42,86.75,3.83,0.92479881
Acanthochromis polyacanthus,Actinopteri,10.2,86.05,3.75,0.920064922
Acanthochromis polyacanthus,Actinopteri,13.18,83.28,3.54,0.901332251
Acanthochromis polyacanthus,Actinopteri,12.18,84.58,3.25,0.910089944
Acanthochromis polyacanthus,Actinopteri,11.48,85.45,3.07,0.916007304
Acanthochromis polyacanthus,Actinopteri,12.65,83.96,3.39,0.905930885
Acanthochromis polyacanthus,Actinopteri,12.94,83.84,3.22,0.905119362
Acanthochromis polyacanthus,Actinopteri,11.72,85.42,2.87,0.915770609
Acanthochromis polyacanthus,Actinopteri,11.76,84.37,3.87,0.908703591
Acanthochromis polyacanthus,Actinopteri,13.94,82.41,3.64,0.895482518
Acanthochromis polyacanthus,Actinopteri,13.71,82.99,3.3,0.899371069
Acanthochromis polyacanthus,Actinopteri,9.36,87.31,3.33,0.92858592
Acanthochromis polyacanthus,Actinopteri,12.9,83.6,3.5,0.903496314
Acanthochromis polyacanthus,Actinopteri,16.51,80.27,3.22,0.880976533
Acanthochromis polyacanthus,Actinopteri,11.42,84.6,3.98,0.910259011
Ailuropoda melanoleuca,Mammalia,25.87,70.68,3.45,0.81612227
Ailuropoda melanoleuca,Mammalia,11.03,86.58,2.39,0.923649151
Ailuropoda melanoleuca,Mammalia,11.69,85.62,2.68,0.917190776
Ailuropoda melanoleuca,Mammalia,11.53,85.77,2.7,0.918171367
Ailuropoda melanoleuca,Mammalia,21.95,74.84,3.21,0.844255089
Ailuropoda melanoleuca,Mammalia,16.1,81.28,2.62,0.887806857
Ailuropoda melanoleuca,Mammalia,12.02,85.22,2.76,0.914451883
Ailuropoda melanoleuca,Mammalia,18.8,78.69,2.51,0.870291472
Ailuropoda melanoleuca,Mammalia,25.62,71.03,3.35,0.818489213
Ailuropoda melanoleuca,Mammalia,13.17,84.47,2.36,0.909379861
Ailuropoda melanoleuca,Mammalia,22.69,73.85,3.45,0.837593832
Ailuropoda melanoleuca,Mammalia,32.79,64.39,2.82,0.773584906
Ailuropoda melanoleuca,Mammalia,12.88,83.56,3.56,0.903225806
Ailuropoda melanoleuca,Mammalia,15.87,80.51,3.62,0.882599581
Ailuropoda melanoleuca,Mammalia,9.8,84.44,5.76,0.90917698
Ailuropoda melanoleuca,Mammalia,14.86,81.69,3.44,0.890613377
Ailuropoda melanoleuca,Mammalia,13.05,83.2,3.75,0.900791236
Ailuropoda melanoleuca,Mammalia,13.7,83.63,2.68,0.903665382
Ailuropoda melanoleuca,Mammalia,19.42,77.53,3.05,0.862446744
Ailuropoda melanoleuca,Mammalia,20.55,76.94,2.52,0.858422939
Ailuropoda melanoleuca,Mammalia,27.37,57.28,15.35,0.72550213
Ailuropoda melanoleuca,Mammalia,14.18,83.1,2.72,0.900114966
Ailuropoda melanoleuca,Mammalia,24.64,71.7,3.65,0.823054034
Ailuropoda melanoleuca,Mammalia,23.75,62.76,13.48,0.762595523
Ailuropoda melanoleuca,Mammalia,14.39,81.63,3.98,0.890173801
Ailuropoda melanoleuca,Mammalia,30.53,59.28,10.18,0.739061338
Ailuropoda melanoleuca,Mammalia,11.81,85.28,2.91,0.914857645
Ailuropoda melanoleuca,Mammalia,23.98,61.24,14.78,0.75228241
Ailuropoda melanoleuca,Mammalia,15.04,82.26,2.71,0.894400487
Ailuropoda melanoleuca,Mammalia,11.53,85.79,2.68,0.918306621
Amphilophus citrinellus,Actinopteri,31.53,66.61,1.86,0.788598093
Amphilophus citrinellus,Actinopteri,36.34,61.23,2.43,0.752214783
Amphilophus citrinellus,Actinopteri,40.23,58.52,1.25,0.733887874
Amphilophus citrinellus,Actinopteri,38.96,59.86,1.18,0.742949888
Amphilophus citrinellus,Actinopteri,31.54,66.4,2.06,0.787177927
Amphilophus citrinellus,Actinopteri,37.46,60.97,1.58,0.750422669
Amphilophus citrinellus,Actinopteri,30.93,65.64,3.43,0.782038277
Amphilophus citrinellus,Actinopteri,13.56,83.89,2.55,0.905457496
Amphilophus citrinellus,Actinopteri,13.76,84.1,2.14,0.906877663
Amphilophus citrinellus,Actinopteri,31.86,66.11,2.03,0.785216744
Amphilophus citrinellus,Actinopteri,14.45,83.13,2.42,0.900317847
Amphilophus citrinellus,Actinopteri,37.67,60.51,1.81,0.747379455
Amphilophus citrinellus,Actinopteri,14.89,83.73,1.38,0.904375465
Amphilophus citrinellus,Actinopteri,37.32,60.41,2.27,0.746669372
Amphilophus citrinellus,Actinopteri,36.1,61.65,2.25,0.755055116
Amphilophus citrinellus,Actinopteri,17.08,81.19,1.73,0.887198215
Amphilophus citrinellus,Actinopteri,15.19,83.12,1.69,0.90025022
Amphilophus citrinellus,Actinopteri,13.81,83.97,2.21,0.906032326
Amphilophus citrinellus,Actinopteri,17.03,81.25,1.72,0.887603976
Amphilophus citrinellus,Actinopteri,34.14,63.33,2.53,0.766416447
Amphilophus citrinellus,Actinopteri,38.1,59.97,1.93,0.743693785
Amphilophus citrinellus,Actinopteri,37.84,60.04,2.12,0.744167174
Amphilophus citrinellus,Actinopteri,33.62,64.11,2.27,0.771691351
Amphilophus citrinellus,Actinopteri,14.61,83.6,1.79,0.903496314
Amphilophus citrinellus,Actinopteri,14.57,84.04,1.39,0.906471901
Amphilophus citrinellus,Actinopteri,33.94,63.59,2.47,0.768174748
Amphilophus citrinellus,Actinopteri,17,80.76,2.24,0.884290255
Amphilophus citrinellus,Actinopteri,17.16,80.6,2.24,0.883208223
Amphilophus citrinellus,Actinopteri,34.1,64.07,1.83,0.771420843
Amphilophus citrinellus,Actinopteri,35.12,63.25,1.63,0.765875431
Amphiprion ocellaris,Actinopteri,14.65,81.96,3.39,0.892405491
Amphiprion ocellaris,Actinopteri,7.14,90.03,2.83,0.946980456
Amphiprion ocellaris,Actinopteri,10.94,81.33,7.73,0.888144992
Amphiprion ocellaris,Actinopteri,7.43,86.28,6.29,0.921620342
Amphiprion ocellaris,Actinopteri,7.87,85.15,6.99,0.913944681
Amphiprion ocellaris,Actinopteri,7.72,83.43,8.85,0.902346656
Amphiprion ocellaris,Actinopteri,6.96,86.9,6.13,0.925847028
Amphiprion ocellaris,Actinopteri,8.85,84.69,6.46,0.910867654
Amphiprion ocellaris,Actinopteri,7.66,84.8,7.54,0.911611551
Amphiprion ocellaris,Actinopteri,7.28,85.19,7.53,0.914249003
Amphiprion ocellaris,Actinopteri,6.96,84.74,8.3,0.911205789
Amphiprion ocellaris,Actinopteri,10.28,83.02,6.71,0.899540137
Amphiprion ocellaris,Actinopteri,7.01,87.59,5.39,0.930513289
Amphiprion ocellaris,Actinopteri,14.33,79.98,5.69,0.879015351
Amphiprion ocellaris,Actinopteri,17.47,78.23,4.3,0.867180632
Amphiprion ocellaris,Actinopteri,6.49,86.99,6.52,0.926421857
Amphiprion ocellaris,Actinopteri,7.55,84.92,7.53,0.912423074
