Species	class	label	shannon	equitability	PC1	PC2	IG_C_gene	IG_D_gene	IG_J_gene	IG_LV_gene	IG_V_gene	miRNA	misc_RNA	Mt_rRNA	Mt_tRNA	ncRNA	pre_miRNA	protein_coding	ribozyme	rRNA	scaRNA	scRNA	snoRNA	snRNA	sRNA	TEC	TR_C_gene	TR_D_gene	TR_J_gene	TR_V_gene	transposable_element	tRNA	vault_RNA	Y_RNA	lncRNA	pseudogene	IG_C_gene_proportion	IG_D_gene_proportion	IG_J_gene_proportion	IG_LV_gene_proportion	IG_V_gene_proportion	miRNA_proportion	misc_RNA_proportion	Mt_rRNA_proportion	Mt_tRNA_proportion	ncRNA_proportion	pre_miRNA_proportion	protein_coding_proportion	ribozyme_proportion	rRNA_proportion	scaRNA_proportion	scRNA_proportion	snoRNA_proportion	snRNA_proportion	sRNA_proportion	TEC_proportion	TR_C_gene_proportion	TR_D_gene_proportion	TR_J_gene_proportion	TR_V_gene_proportion	transposable_element_proportion	tRNA_proportion	vault_RNA_proportion	Y_RNA_proportion	lncRNA_proportion	pseudogene_proportion	total_genes	type_of_genes
Acanthochromis Polyacanthus	Actinopteri	Actinopteri	0.143925303	0.087101931	-0.177503516	-0.015612127	0	0	2	0	4	126	16	0	0	0	0	24016	3	38	12	0	248	58	8	0	0	0	5	0	0	0	0	0	0	29	0	0	8.14E-05	0	0.000162833	0.005129249	0.000651333	0	0	0	0	0.97765113	0.000122125	0.001546916	0.0004885	0	0.010095665	0.002361083	0.000325667	0	0	0	0.000203542	0	0	0	0	0	0	0.001180541	24565	13
Ailuropoda Melanoleuca	Mammalia	Mammalia	0.669268025	0.405033279	-0.04551512	0.016803259	7	0	0	0	22	232	15	0	0	0	0	20820	8	19	27	0	635	1289	0	0	3	0	3	2	0	0	1	30	766	583	0.000286158	0	0	0	0.000899354	0.009484098	0.000613196	0	0	0	0	0.851116017	0.000327038	0.000776715	0.001103753	0	0.02595863	0.052693974	0	0	0.000122639	0	0.000122639	8.18E-05	0	0	4.09E-05	0.001226392	0.031313875	0.023832884	24462	17
Amphilophus Citrinellus	Actinopteri	Actinopteri	0.208297793	0.126059419	-0.166294042	-0.007595129	0	0	3	0	15	180	19	0	0	0	0	23675	3	324	9	0	199	42	6	0	0	0	3	0	0	0	0	0	0	50	0	0	0.000122309	0	0.000611546	0.007338552	0.000774625	0	0	0	0	0.965223418	0.000122309	0.013209393	0.000366928	0	0.008113177	0.001712329	0.000244618	0	0	0	0.000122309	0	0	0	0	0	0	0.002038487	24528	13
Amphiprion Ocellaris	Actinopteri	Actinopteri	0.278004611	0.16824518	-0.153238358	0.000497359	0	0	3	0	32	117	17	2	22	0	0	23555	3	530	16	0	230	201	6	0	0	0	2	0	0	0	0	0	0	37	0	0	0.0001211	0	0.001291729	0.004722884	0.000686231	8.07E-05	0.000888064	0	0	0.950833569	0.0001211	0.02139426	0.000645864	0	0.009284301	0.008113672	0.000242199	0	0	0	8.07E-05	0	0	0	0	0	0	0.001493562	24773	15
Amphiprion Percula	Actinopteri	Actinopteri	0.230430966	0.13945416	-0.162576504	-0.005249692	0	0	12	0	40	123	23	0	0	0	0	23872	3	407	12	0	221	81	5	0	0	0	2	0	0	0	0	0	0	39	0	0	0.000483092	0	0.001610306	0.004951691	0.000925926	0	0	0	0	0.961030596	0.000120773	0.016384863	0.000483092	0	0.00889694	0.00326087	0.000201288	0	0	0	8.05E-05	0	0	0	0	0	0	0.001570048	24840	13
Anas Platyrhynchos	Aves	Livestock animals	0.447781335	0.270992092	-0.092900327	-0.020374893	0	0	0	0	0	124	5	0	0	0	0	16765	3	34	15	0	202	96	0	0	0	0	0	0	0	0	1	4	786	455	0	0	0	0	0	0.006706328	0.000270416	0	0	0	0	0.906706328	0.00016225	0.001838832	0.000811249	0	0.010924824	0.005191996	0	0	0	0	0	0	0	0	5.41E-05	0.000216333	0.042509465	0.024607896	18490	12
Anolis Carolinensis	Lepidosauria	Lepidosauria	0.702525686	0.425160431	0.024499689	-0.04785221	0	0	0	0	1	289	3	2	22	0	0	21554	3	125	14	0	192	265	0	0	0	0	0	0	0	0	8	2	3173	826	0	0	0	0	3.78E-05	0.010914309	0.000113297	7.55E-05	0.000830847	0	0	0.81400355	0.000113297	0.004720722	0.000528721	0	0.007251029	0.010007931	0	0	0	0	0	0	0	0	0.000302126	7.55E-05	0.119830809	0.031194532	26479	15
Arabidopsis Thaliana	Magnoliopsida	Magnoliopsida	0.613656583	0.371377877	-0.010041051	-0.054357392	0	0	0	0	0	325	0	0	0	299	0	27628	0	15	0	0	287	82	0	0	0	0	0	0	0	689	0	0	3508	0	0	0	0	0	0	0.009898578	0	0	0	0.009106691	0	0.841470472	0	0.000456857	0	0	0.008741205	0.002497487	0	0	0	0	0	0	0	0.020984985	0	0	0.106843724	0	32833	8
Astatotilapia Calliptera	Actinopteri	Actinopteri	0.217674776	0.13173426	-0.16469284	-0.007860065	0	0	4	0	27	410	43	0	0	0	0	26983	3	182	11	0	202	86	2	0	0	0	4	0	0	0	0	0	0	44	0	0	0.000142852	0	0.000964251	0.014642334	0.001535659	0	0	0	0	0.963644156	0.000107139	0.006499768	0.000392843	0	0.007214028	0.003071319	7.14E-05	0	0	0	0.000142852	0	0	0	0	0	0	0.001571372	28001	13
Astyanax Mexicanus	Actinopteri	Actinopteri	0.173979145	0.105290169	-0.172722014	-0.011787349	0	0	4	0	28	38	21	0	0	0	0	26662	7	246	10	0	234	123	1	0	0	0	4	0	0	0	0	0	0	42	0	0	0.000145879	0	0.001021152	0.00138585	0.000765864	0	0	0	0	0.972355945	0.000255288	0.008971554	0.000364697	0	0.008533917	0.004485777	3.65E-05	0	0	0	0.000145879	0	0	0	0	0	0	0.001531729	27420	13
Betta Splendens	Actinopteri	Actinopteri	0.663859575	0.401760147	-0.00940539	-0.028475802	0	0	1	0	13	79	15	0	0	0	0	22369	7	741	6	0	167	265	0	0	0	0	5	0	0	0	4	1	2441	613	0	0	3.74E-05	0	0.0004864	0.002955812	0.00056123	0	0	0	0	0.836943914	0.000261907	0.027724773	0.000224492	0	0.006248363	0.009915067	0	0	0	0	0.000187077	0	0	0	0.000149661	3.74E-05	0.091330864	0.022935608	26727	15
Bos Grunniens	Mammalia	Livestock animals	0.91491047	0.55369325	0.035909199	0.023983314	0	0	0	0	6	748	25	0	0	0	0	20953	5	185	34	0	767	1265	0	0	1	0	5	2	0	0	8	14	1698	1208	0	0	0	0	0.00022285	0.027781905	0.00092854	0	0	0	0	0.778227604	0.000185708	0.006871193	0.001262814	0	0.028487595	0.046984103	0	0	3.71E-05	0	0.000185708	7.43E-05	0	0	0.000297133	0.000519982	0.063066409	0.044867033	26924	16
Bos Mutus	Mammalia	Mammalia	0.861871867	0.5215949	-0.004552158	0.035428471	0	0	0	0	5	669	384	2	22	0	0	20832	8	339	32	0	756	1196	3	0	1	0	5	4	0	0	0	0	928	586	0	0	0	0	0.000194009	0.025958404	0.014899891	7.76E-05	0.00085364	0	0	0.808319106	0.000310414	0.01315381	0.001241658	0	0.029334161	0.046406953	0.000116405	0	3.88E-05	0	0.000194009	0.000155207	0	0	0	0	0.036008071	0.022737855	25772	17
Bos Taurus	Mammalia	Livestock animals	0.907875987	0.549436062	0.017206719	0.026627531	1	0	0	0	2	951	372	2	22	0	0	21861	8	393	33	0	770	1201	3	0	1	0	5	10	0	0	0	0	1480	492	3.62E-05	0	0	0	7.24E-05	0.034447785	0.013474843	7.24E-05	0.000796899	0	0	0.791864382	0.000289782	0.01423552	0.001195349	0	0.027891477	0.043503459	0.000108668	0	3.62E-05	0	0.000181113	0.000362227	0	0	0	0	0.053609592	0.017821567	27607	18
Callithrix Jacchus	Mammalia	Mammalia	1.491472954	0.902622206	0.287814678	0.048098586	1	0	0	0	71	540	4204	0	0	0	0	21965	4	213	49	0	1501	3083	0	0	3	0	12	26	0	0	16	937	6268	1295	2.49E-05	0	0	0	0.001766697	0.013436847	0.104608341	0	0	0	0	0.546556186	9.95E-05	0.00530009	0.001219269	0	0.037349458	0.076714442	0	0	7.46E-05	0	0.000298597	0.000646959	0	0	0.000398129	0.023315418	0.155966955	0.032223549	40188	17
Camelus Dromedarius	Mammalia	Mammalia	0.624895067	0.378179278	-0.061225147	0.021908598	1	0	0	0	17	197	9	0	0	0	0	19379	4	21	30	0	633	1027	0	0	1	0	5	3	0	0	2	8	445	662	4.46E-05	0	0	0	0.000757441	0.008777402	0.000400998	0	0	0	0	0.86343789	0.000178221	0.000935662	0.00133666	0	0.028203529	0.045758332	0	0	4.46E-05	0	0.000222777	0.000133666	0	0	8.91E-05	0.000356443	0.019827125	0.029495634	22444	17
Canis Lupus Familiaris	Mammalia	Mammalia	1.069434836	0.647209612	0.203320007	-0.057538012	24	0	0	0	29	986	22	0	0	0	0	20500	6	27	28	0	618	1750	0	0	3	0	7	4	0	0	1	27	6479	610	0.000771183	0	0	0	0.000931847	0.031682787	0.000706918	0	0	0	0	0.658719193	0.000192796	0.000867581	0.000899714	0	0.019857974	0.056232126	0	0	9.64E-05	0	0.000224929	0.000128531	0	0	3.21E-05	0.000867581	0.208187398	0.019600913	31121	17
Capra Hircus	Mammalia	Livestock animals	0.878879492	0.531887718	0.043617781	-0.012514897	4	0	0	0	6	314	352	2	22	0	0	21343	8	384	28	0	682	1189	2	0	2	0	0	6	0	0	0	0	2705	222	0.000146676	0	0	0	0.000220014	0.011514063	0.012907484	7.33E-05	0.000806718	0	0	0.782626233	0.000293352	0.014080892	0.001026732	0	0.025008251	0.043599428	7.33E-05	0	7.33E-05	0	0	0.000220014	0	0	0	0	0.099189615	0.008140516	27271	17
Carassius Auratus	Actinopteri	Actinopteri	0.581213618	0.351743769	-0.066940762	-0.004795614	10	0	1	0	126	233	64	2	22	0	0	54560	7	1890	22	0	441	952	0	0	3	0	25	49	0	0	7	3	2799	915	0.00016095	0	1.61E-05	0	0.002027973	0.003750141	0.001030082	3.22E-05	0.000354091	0	0	0.878144566	0.000112665	0.030419597	0.000354091	0	0.007097906	0.015322464	0	0	4.83E-05	0	0.000402376	0.000788656	0	0	0.000112665	4.83E-05	0.045049975	0.014726948	62131	20
Cavia Porcellus	Mammalia	Mammalia	1.212716144	0.733921805	0.143987505	0.042580343	0	0	0	0	0	474	1786	2	22	0	0	18095	20	541	59	0	1624	1354	2	0	0	0	0	0	0	0	0	0	2634	242	0	0	0	0	0	0.017650344	0.066505306	7.45E-05	0.000819214	0	0	0.673803761	0.00074474	0.020145224	0.002196984	0	0.06047291	0.050418916	7.45E-05	0	0	0	0	0	0	0	0	0	0.098082294	0.009011357	26855	13
Cercocebus Atys	Mammalia	Mammalia	1.114119872	0.674252479	0.061994989	0.093179152	23	0	0	0	101	1312	1923	0	0	0	0	20746	7	679	46	0	834	1653	1	0	8	0	0	48	0	0	0	0	538	540	0.00080818	0	0	0	0.003548965	0.046101409	0.067570891	0	0	0	0	0.728978531	0.000245968	0.023858885	0.00161636	0	0.029305316	0.058083559	3.51E-05	0	0.000281106	0	0	0.001686637	0	0	0	0	0.018904389	0.018974665	28459	15
Chinchilla Lanigera	Mammalia	Mammalia	1.194912522	0.723147258	0.261970057	-0.061013259	0	0	0	0	0	462	978	2	22	0	0	17809	15	550	40	0	723	1326	2	0	0	0	0	0	0	0	0	0	7050	282	0	0	0	0	0	0.015788934	0.033423328	6.84E-05	0.000751854	0	0	0.608625816	0.000512628	0.01879635	0.001367007	0	0.024708657	0.045316291	6.84E-05	0	0	0	0	0	0	0	0	0	0.240935033	0.009637401	29261	13
