species	domain	kingdom	phylum	class	order	family	genus
acanthochromis polyacanthus	Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Acanthochromis
ailuropoda melanoleuca	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Ursidae	Ailuropoda
amphilophus citrinellus	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Amphilophus
amphiprion ocellaris	Eukaryota	Metazoa	Chordata	Actinopteri		Pomacentridae	Amphiprion
anas platyrhynchos	Eukaryota	Metazoa	Chordata	Aves	Anseriformes	Anatidae	Anas
anolis carolinensis	Eukaryota	Metazoa	Chordata	Lepidosauria	Squamata	Dactyloidae	Anolis
astatotilapia calliptera	Eukaryota	Metazoa	Chordata	Actinopteri	Cichliformes	Cichlidae	Astatotilapia
callithrix jacchus	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cebidae	Callithrix
canis lupus familiaris	Eukaryota	Metazoa	Chordata	Mammalia	Carnivora	Canidae	Canis
capra hircus	Eukaryota	Metazoa	Chordata	Mammalia	Artiodactyla	Bovidae	Capra
ciona intestinalis	Eukaryota	Metazoa	Chordata	Ascidiacea	Phlebobranchia	Cionidae	Ciona
cyanistes caeruleus	Eukaryota	Metazoa	Chordata	Aves	Passeriformes	Paridae	Cyanistes
cyclopterus lumpus	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Cyclopteridae	Cyclopterus
cyprinodon variegatus	Eukaryota	Metazoa	Chordata	Actinopteri	Cyprinodontiformes	Cyprinodontidae	Cyprinodon
dromaius novaehollandiae	Eukaryota	Metazoa	Chordata	Aves	Casuariiformes	Dromaiidae	Dromaius
drosophila melanogaster	Eukaryota	Metazoa	Arthropoda	Insecta	Diptera	Drosophilidae	Drosophila
rhinolophus ferrumequinum	Eukaryota	Metazoa	Chordata	Mammalia	Chiroptera	Rhinolophidae	Rhinolophus
rhinopithecus roxellana	Eukaryota	Metazoa	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus
saccharomyces cerevisiae	Eukaryota	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces
salmo trutta	Eukaryota	Metazoa	Chordata	Actinopteri	Salmoniformes	Salmonidae	Salmo
sander lucioperca	Eukaryota	Metazoa	Chordata	Actinopteri	Perciformes	Percidae	Sander
seriola dumerili	Eukaryota	Metazoa	Chordata	Actinopteri	Carangiformes	Carangidae	Seriola
