Species,Class,Label,Assigned_rate,Unassigned_NoFeatures_rate,Unassigned_Ambiguity_rate,Genome_size,Overlap_length_of_exon,Total_gene_length,Total_exon_length,Num_of_annotated_genes,Num_of_annotated_exons,Avg_exons_per_gene,Prop_exons_in_genome,Prop_genes_in_genome,Avg_gene_length,Average_exon_length,Prop_overlapness_exon_in_genome,Transcripts_diversity_PCA
Acanthochromis polyacanthus,Actinopteri,Actinopteri,0.731527376,0.133019342,0.031324497,991584656,1755550,422241090,95841691,24565,251425,10.23509058,0.096655077,0.42582455,17188.72746,381.1939584,0.001770449,-0.177503516
Ailuropoda melanoleuca,Mammalia,Mammalia,0.575348008,0.281664982,0.016266138,2444060653,21974791,973763720,93927981,24462,224567,9.180238738,0.038431117,0.39842044,39807.19974,418.2626165,0.008991099,-0.04551512
Amphilophus citrinellus,Actinopteri,Actinopteri,0.548048907,0.359752824,0.013748284,844902565,3317602,323899838,45128924,24528,236353,9.636048598,0.05341317,0.383357622,13205.30977,190.9386553,0.003926609,-0.166294042
Amphiprion ocellaris,Actinopteri,Actinopteri,0.642742042,0.127641703,0.027397253,880704246,1488176,405214674,84011075,24773,252212,10.18092278,0.095390791,0.460103009,16357.10951,333.0970572,0.001689757,-0.153238358
Amphiprion percula,Actinopteri,Actinopteri,0.624513233,0.222788704,0.027825875,908939294,22722638,441599478,90656698,24840,260034,10.46835749,0.099739002,0.485840453,17777.75676,348.6340171,0.024999071,-0.162576504
Anas platyrhynchos,Aves,Livestock animals,0.477020512,0.345773753,0.008272119,1211992756,14594867,505997411,68702117,18490,201033,10.87252569,0.056685254,0.417492108,27366.00384,341.7454696,0.012042041,-0.092900327
Anolis carolinensis,Lepidosauria,Lepidosauria,0.384584964,0.334686947,0.010891968,1799143587,11823755,772812630,87105372,26479,211848,8.000604252,0.048414908,0.429544721,29185.86918,411.1691968,0.00657188,0.024499689
Arabidopsis thaliana,Magnoliopsida,Magnoliopsida,0.72238326,0.039170437,0.015552861,119146348,19602075,65640348,89217827,32834,196888,5.996467077,0.748808742,0.550922031,1999.157824,453.1399933,0.164520989,-0.010041051
Astatotilapia calliptera,Actinopteri,Actinopteri,0.550962614,0.216229957,0.035563358,880428986,25861200,469317737,114429778,28001,279154,9.969429663,0.12997048,0.533055754,16760.74915,409.9163114,0.029373408,-0.16469284
Astyanax mexicanus,Actinopteri,Actinopteri,0.506703566,0.146839692,0.023870141,1335239194,22191853,632384298,112050901,27420,270754,9.87432531,0.083918223,0.473611246,23062.88468,413.8476292,0.016620133,-0.172722014
Betta splendens,Actinopteri,Actinopteri,0.586258156,0.249703635,0.021487115,441371523,19247644,292181518,147212149,26727,346165,12.95188386,0.33353341,0.661985431,10932.07311,425.2658385,0.043608713,-0.00940539
Bos grunniens,Mammalia,Livestock animals,0.416018328,0.197405771,0.013507278,2832776395,22760986,1128095122,98590573,26924,241444,8.967612539,0.034803514,0.398229498,41899.23941,408.3372252,0.008034869,0.035909199
Bos mutus,Mammalia,Mammalia,0.668137622,0.239555061,0.010211825,2645145588,3435712,869929706,73164517,25772,224602,8.714961974,0.027659921,0.328877817,33754.83882,325.7518499,0.001298874,-0.004552158
Bos taurus,Mammalia,Livestock animals,0.662722082,0.270115022,0.011560482,2715853794,22250568,996770330,95830448,27607,240541,8.713043793,0.03528557,0.367019142,36105.70978,398.3954835,0.008192845,0.017206719
Callithrix jacchus,Mammalia,Mammalia,0.534060538,0.261951898,0.006826642,2829727687,27515709,1482300618,128668843,40188,279127,6.945531004,0.045470398,0.523831542,36884.1599,460.9688171,0.009723801,0.287814678
Camelus dromedarius,Mammalia,Mammalia,0.373974753,0.437724645,0.004369518,2154386959,19700816,853897402,81301381,22444,222214,9.900819818,0.037737594,0.396352846,38045.68713,365.8697517,0.009144511,-0.061225147
Canis lupus familiaris,Mammalia,Mammalia,0.695534762,0.147179017,0.015733632,2396875024,33037101,1145303786,149262243,31121,260022,8.355194242,0.062273686,0.477832083,36801.63831,574.0369776,0.013783406,0.203320007
Capra hircus,Mammalia,Livestock animals,0.411688036,0.225915404,0.009671381,2922796603,20927515,961475660,87699856,27271,235206,8.624766235,0.03000546,0.32895743,35256.34043,372.8640256,0.0071601,0.043617781
Carassius auratus,Actinopteri,Actinopteri,0.619068797,0.121288451,0.010955783,1820635051,27412522,944415505,343133895,62131,744471,11.98227938,0.188469345,0.518728619,15200.39119,460.9096862,0.015056572,-0.066940762
Cavia porcellus,Mammalia,Mammalia,0.514444761,0.198200867,0.015860231,2723202840,16140780,845395653,71664207,26855,215857,8.037870043,0.026316147,0.310441676,31480.00942,331.9985314,0.005927131,0.143987505
Cercocebus atys,Mammalia,Mammalia,0.54967958,0.375845879,0.007936738,2848246356,16358962,1110205068,116298000,28459,264889,9.307740961,0.04083144,0.389785478,39010.68442,439.0442789,0.005743521,0.061994989
Chinchilla lanigera,Mammalia,Mammalia,0.592929214,0.238200759,0.030188922,2390852391,17581516,967786615,86076992,29261,229585,7.846109156,0.036002638,0.404787271,33074.28369,374.9242851,0.00735366,0.261970057
Chlorocebus sabaeus,Mammalia,Mammalia,0.404859226,0.331464244,0.039415753,2789639778,8683559,834225283,51773689,27985,196741,7.030230481,0.018559274,0.299044088,29809.72961,263.1565815,0.003112789,0.095338783
Ciona intestinalis,Ascidiacea,Ascidiacea,0.701374007,0.127976869,0.050029906,115226814,4547639,67648372,21840202,17153,118277,6.895411881,0.189540969,0.5870888,3943.821606,184.6529926,0.039466847,-0.17216365
Ciona savignyi,Ascidiacea,Ascidiacea,0.563745296,0.235990178,0.018411039,177003750,3146355,69840531,32788096,12172,131047,10.76626684,0.185239556,0.394570912,5737.802415,250.2010424,0.01777564,-0.15459219
Coturnix japonica,Aves,Aves,0.684036918,0.198882365,0.018204473,927640260,14953337,503001052,76506984,21561,210807,9.777236677,0.082474842,0.542237194,23329.20792,362.9243052,0.016119759,0.147409553
Cyclopterus lumpus,Actinopteri,Actinopteri,0.550574671,0.15053856,0.009064103,572902877,17746658,273148479,120499039,23152,311756,13.46561852,0.210330658,0.47677973,11798.0511,386.5171448,0.03097673,-0.12822579
Cynoglossus semilaevis,Actinopteri,Actinopteri,0.626564418,0.120068491,0.046372138,470182763,18278689,279376385,94523442,21811,244007,11.18733666,0.201035532,0.594186786,12808.96726,387.3800424,0.038875711,-0.179460461
Cyprinodon variegatus,Actinopteri,Actinopteri,0.747464367,0.095764717,0.037643794,1035167975,2616172,456373339,82681777,23458,237756,10.13539091,0.079872812,0.440868873,19454.91257,347.7589504,0.002527292,-0.179821675
Cyprinus carpio carpio,Actinopteri,Actinopteri,0.658964652,0.081006005,0.110605861,1460348793,34132243,1149712061,511286249,54973,805505,14.65273862,0.350112419,0.787285932,20914.12259,634.7400066,0.023372665,-0.05203842
Danio rerio,Actinopteri,Actinopteri,0.709923153,0.10343392,0.028359241,1679186873,28698456,854515563,117608789,32520,335076,10.30369004,0.070039131,0.508886519,26276.61633,350.991384,0.017090686,0.01241376
Dicentrarchus labrax,Actinopteri,Actinopteri,0.613434453,0.142583787,0.099398071,695892153,27453938,488411262,266868416,24969,398802,15.97188514,0.383491055,0.701849072,19560.70576,669.1752198,0.039451426,-0.11120343
Drosophila melanogaster,Insecta,Insecta,0.629535706,0.009409748,0.042390514,143726002,18439951,111140433,100791112,23932,93949,3.925664382,0.701272634,0.773279932,4644.009402,1072.827939,0.128299339,0.1731877
Equus caballus,Mammalia,Livestock animals,0.595324939,0.271443977,0.011512531,2506949475,25912451,1204287659,120769221,30371,262148,8.631523493,0.048173775,0.480379709,39652.55207,460.6909875,0.010336248,0.186839697
Esox lucius,Actinopteri,Actinopteri,0.613214213,0.181534948,0.012811537,940906978,27247772,545862187,207857063,31438,392407,12.48193269,0.220911384,0.58014469,17363.13337,529.697643,0.02895905,0.004568692
