Species,Transcript.s.diversity,Quant.rate,Quant.rate(Abs),Quant.rate(Amb),MapRate,UnimapRate,MultiMapRate,AdjN50Contig,AdjN50Scaffold,UngapRate,NGS.applicability.index
Acanthochromis polyacanthus,0.006540022,0.731527376,0.866980658,0.968675503,0.88232,0.84656,0.964246667,0.07291667,0,0.530603042,0.587036994
Ailuropoda melanoleuca,0.18509367,0.575348008,0.718335018,0.983733862,0.819796667,0.774746667,0.95496,0.3229167,0.875,0.81890912,0.702883971
Amphilophus citrinellus,0.021704177,0.548048907,0.640247176,0.986251716,0.726696667,0.70655,0.979856667,0.2083333,0.1145833,0.778514777,0.571078669
Amphiprion ocellaris,0.039365881,0.642742042,0.872358297,0.972602747,0.902633333,0.836123333,0.93349,0.4375,0.02083333,0.99491616,0.665256512
Amphiprion percula,0.026733256,0.624513233,0.777211296,0.972174125,0.897313333,0.860466667,0.96313,0.625,0.6875,0.997519901,0.743156181
Anas platyrhynchos,0.120991053,0.477020512,0.654226247,0.991727881,0.885576667,0.8085,0.922913333,0.78125,0.8958333,0.998876319,0.753691531
Anolis carolinensis,0.279809569,0.384584964,0.665313053,0.989108032,0.732723333,0.655783333,0.923046667,0.3020833,0.1666667,0.871482132,0.597060108
Arabidopsis thaliana,0.233082922,0.72238326,0.960829563,0.984447139,0.92609,0.795736667,0.869656667,0.9895833,0.9895833,0.999654532,0.847104735
Astatotilapia calliptera,0.02387028,0.550962614,0.783770043,0.964436642,0.779853333,0.72525,0.945406667,0.6875,0.7708333,0.998218111,0.723010099
Astyanax mexicanus,0.013008429,0.506703566,0.853160308,0.976129859,0.88572,0.785033333,0.899296667,0.5729167,0.4895833,0.997763547,0.697931571
Betta splendens,0.233942843,0.586258156,0.750296365,0.978512885,0.78612,0.744916667,0.958776667,0.7083333,0.8020833,0.998807225,0.754804741
Bos grunniens,0.295244332,0.416018328,0.802594229,0.986492722,0.889543333,0.740923333,0.851386667,0.8854167,0.65625,0.997650815,0.752152046
Bos mutus,0.240508286,0.668137622,0.760444939,0.989788175,0.86259,0.83174,0.969163333,0.01041667,0.03125,0.301768434,0.566580746
Bos taurus,0.269943653,0.662722082,0.729884978,0.988439518,0.700543333,0.685276667,0.984723333,0.7916667,0.6041667,0.998596307,0.741596327
Callithrix jacchus,0.636021578,0.534060538,0.738048102,0.993173358,0.74073,0.686106667,0.94538,0.6666667,0.8229167,0.996512588,0.775961623
Camelus dromedarius,0.163841176,0.373974753,0.562275355,0.995630482,0.71008,0.662576667,0.952506667,0.375,0.5833333,0.867361967,0.624658037
Canis lupus familiaris,0.52171735,0.695534762,0.852820983,0.984266368,0.897926667,0.85308,0.955143333,0.6770833,0.5,0.997909007,0.793548177
Capra hircus,0.305672487,0.411688036,0.774084596,0.990328619,0.855313333,0.72375,0.868436667,0.7708333,0.5416667,0.998210838,0.723998458
Carassius auratus,0.156109103,0.619068797,0.878711549,0.989044217,0.776366667,0.693796667,0.91741,0.46875,0.4166667,0.991828764,0.690775246
Cavia porcellus,0.441452456,0.514444761,0.801799133,0.984139769,0.78828,0.720473333,0.932183333,0.21875,0.40625,0.787409678,0.659518246
Cercocebus atys,0.330533138,0.54967958,0.624154121,0.992063262,0.853156667,0.832036667,0.978876667,0.28125,0.2708333,0.762466862,0.647505026
Chinchilla lanigera,0.601059025,0.592929214,0.761799241,0.969811078,0.586713333,0.55824,0.971533333,0.1666667,0.375,0.713381263,0.629713319
Chlorocebus sabaeus,0.375640559,0.404859226,0.668535756,0.960584247,0.74022,0.66724,0.92703,0.25,0.53125,0.415605715,0.59409655
Ciona intestinalis,0.013763783,0.701374007,0.872023131,0.949970094,0.45158,0.43278,0.98119,0.4166667,0.78125,0.981362891,0.658196061
Coturnix japonica,0.446081796,0.684036918,0.801117635,0.981795527,0.84449,0.805033333,0.96054,0.53125,0.2083333,0.974140784,0.723681929
