species	organism	species_name	Number of contigs	Contig L50	Number of spanned gaps	Proportion of repeat elements	Length of masekd repeat elements	Genome size	Ungapped base pair	Adjusted N50 in scaffold	Adjusted N75 in scaffold	Adjusted N90 in scaffold	Adjusted N50 in contig	Adjusted N75 in contig	Adjusted N90 in contig
Acanthochromis polyacanthus	Actinopteri	A.polyacanthus	159493	13227	129079	0.2304	228443367	991584656	842851584	0.000337238	0.000121616	1.76E-05	1.62E-05	6.69E-06	2.24E-06
Ailuropoda melanoleuca	Mammalia	A.melanoleuca	127085	5346	49798	0.3493	853590152	2444060653	2397250240	0.052881552	0.037830276	0.015598955	5.21E-05	2.48E-05	8.90E-06
Amphilophus citrinellus	Actinopteri	A.citrinellus	67543	9697	60906	0.2747	232098244	844902565	785122213	0.00143938	0.000623726	0.000173921	2.78E-05	1.37E-05	6.32E-06
Amphiprion ocellaris	Actinopteri	A.ocellaris	7802	756	1398	0.337	296799728	880704246	880159076	0.000456129	0.000212293	9.06E-05	0.000368126	0.000165753	7.01E-05
Amphiprion percula	Actinopteri	A.percula	1047	84	682	0.3607	327866565	908939294	908906862	0.042265254	0.038657154	0.032750743	0.003436336	0.001841455	0.00084976
Anas platyrhynchos	Livestock animals	A.platyrhynchos	1974	33	309	0.1339	162330281	1211992756	1210757375	0.06404872	0.018311891	0.006249815	0.009461288	0.004696163	0.001142151
Anolis carolinensis	Lepidosauria	A.carolinensis	41987	6217	35341	0.4568	821776446	1799143587	1701353770	0.002241769	0.000918182	0.000218593	4.44E-05	2.25E-05	1.02E-05
Anser cygnoides	Aves	A.cygnoides	64862	8873	63061	0.0723	81775516	1130276682	1100672068	0.004448363	0.00183671	0.000718895	3.10E-05	1.55E-05	7.55E-06
Arabidopsis thaliana	Magnoliopsida	A.thaliana	100	5	95	0.1564	18717662	119146348	118960704	0.196899279	0.165328517	0.155985108	0.093956191	0.069891232	0.018315098
Astatotilapia calliptera	Actinopteri	A.calliptera	738	58	490	0.3413	300518561	880428986	879242323	0.043921045	0.039766369	0.035741389	0.005041003	0.002209028	0.00089319
Astyanax mexicanus	Actinopteri	A.mexicanus	3030	198	615	0.4678	624691457	1335239194	1291596431	0.026495454	0.003501038	0.00021756	0.001323538	0.000568891	0.000193103
Betta splendens	Actinopteri	B.splendens	397	48	328	0.1995	88034546	441371523	441342254	0.045606619	0.040926385	0.037283724	0.005659058	0.002566776	0.001320384
Bos grunniens	Livestock animals	B.grunniens	1060	20	646	0.418	1184054558	2832776395	2832711795	0.040379812	0.026783394	0.020261697	0.015785481	0.006838991	0.002623141
Bos mutus	Mammalia	B.mutus	233197	33281	192006	0.378	999926138	2645145588	2524990950	0.000532281	0.000262613	0.000120568	8.63E-06	4.66E-06	2.41E-06
Bos taurus	Livestock animals	B.taurus	2597	32	386	0.4489	1219114454	2715853794	2715825632	0.038039138	0.025724122	0.018814933	0.009535166	0.005384707	0.001622022
Callithrix jacchus	Mammalia	C.jacchus	1312	59	959	0.4455	1260768833	2829727687	2816302594	0.048404476	0.041572476	0.026398335	0.004684418	0.001842946	0.000670889
Camelus dromedarius	Mammalia	C.dromedarius	59913	3014	36474	0.276	594676961	2154386959	2133843933	0.034822645	0.018901764	0.011568308	9.49E-05	4.76E-05	1.93E-05
Canis lupus familiaris	Mammalia	C.lupus	952	54	575	0.3632	870531537	2396875024	2384212394	0.026716986	0.0216703	0.01648769	0.005016779	0.002580763	0.000904467
Capra hircus	Livestock animals	C.hircus	30398	32	492	0.4585	1340091361	2922796603	2922758416	0.029860864	0.020625132	9.64E-06	0.008979274	0.002500581	9.61E-06
Carassius auratus	Actinopteri	C.auratus	8463	513	2247	0.4034	734502991	1820635051	1820410351	0.012503018	0.000367752	4.77E-05	0.000451026	0.00014055	4.05E-05
Castor canadensis	Mammalia	C.canadensis	24477	2431	3320	0.2955	744194525	2518306565	2517974655	0.000126159	5.14E-05	1.84E-05	0.000108785	4.35E-05	1.61E-05
Cavia porcellus	Mammalia	C.porcellus	61603	9305	58460	0.3885	1058089205	2723202840	2663352932	0.010260732	0.003442107	0.00090973	2.96E-05	1.51E-05	7.60E-06
Cercocebus atys	Mammalia	C.atys	76752	6930	65319	0.4396	1252145095	2848246356	2787272854	0.004511243	0.002382233	0.001018754	3.97E-05	1.90E-05	8.50E-06
Chinchilla lanigera	Mammalia	C.lanigera	81655	10854	78817	0.2388	570854516	2390852391	2284276400	0.009157037	0.005122806	0.002221852	2.56E-05	1.31E-05	6.31E-06
Chlorocebus sabaeus	Mammalia	C.sabaeus	162723	7735	160702	0.4434	1236935471	2789639778	2752002658	0.029332032	0.016170435	0.009475507	3.24E-05	1.20E-05	3.72E-06
Ciona intestinalis	Ascidiacea	C.intestinalis	6381	875	5125	0.1315	15153876	115226814	112163304	0.044719634	0.003439529	0.000354136	0.000321939	0.000161169	7.47E-05
Coturnix japonica	Aves	C.japonica	9641	515	7111	0.0935	86724099	927640260	917246527	0.003207062	0.001558095	0.000719029	0.000551094	0.000265227	0.000111496
Cyanistes caeruleus	Aves	C.caeruleus	50541	2815	21244	0.0846	100471743	1186980630	1098916372	0.014192433	0.005913108	0.000369442	8.91E-05	3.72E-05	1.03E-05
Cyclopterus lumpus	Actinopteri	C.lumpus	396	35	347	0.2196	125783546	572902877	562720673	0.041653381	0.038153322	0.029092429	0.008641398	0.003066956	0.00147026
Cynoglossus semilaevis	Actinopteri	C.semilaevis	62911	4682	31731	0.1269	59683437	470182763	446025043	0.001084389	0.000640874	0.000306421	5.74E-05	2.67E-05	1.08E-05
Cyprinodon variegatus	Actinopteri	C.variegatus	110958	11158	101700	0.2861	296178446	1035167975	899524266	0.000806923	0.000364436	0.000153705	2.01E-05	7.84E-06	2.74E-06
Cyprinus carpio carpio	Actinopteri	C.carpio	1046	51	372	0.3923	572841327	1460348793	1460311593	0.019498013	0.017882091	0.01593226	0.006327343	0.003201943	0.001367067
Danio rerio	Actinopteri	D.rerio	20679	358	17835	0.5943	816259866	1679186873	1674495211	0.002821566	0.00037549	0.000179224	0.000508817	0.000188023	3.59E-05
Dicentrarchus labrax	Actinopteri	D.labrax	574	19	272	0.224	155906942	695892153	694870088	0.042945389	0.036434042	0.030348059	0.018217011	0.007057892	0.001871868
Dromaius novaehollandiae	Aves	D.novaehollandiae	19741	1940	16964	0.0467	55735623	1192237364	1180465803	0.002772672	0.001373846	0.000625607	0.000144376	6.86E-05	3.05E-05
Drosophila melanogaster	Insecta	D.melanogaster	2442	3	572	0.2041	29331739	143726002	142573024	0.175938492	0.163799665	0.163600961	0.149489568	0.118427005	0.00463843
Equus caballus	Livestock animals	E.caballus	10986	462	6286	0.387	970251326	2506949475	2497514011	0.034795586	0.023528379	0.01605724	0.000599435	0.000306459	0.000132758
Esox lucius	Actinopteri	E.lucius	1395	71	584	0.3964	372994215	940906978	940848578	0.039909005	0.033663782	0.027152921	0.003610111	0.001784627	0.000756766
Felis catus	Mammalia	F.catus	4908	19	384	0.3719	937972691	2521846836	2476436195	0.033296117	0.023824101	0.012205627	0.016621031	0.00718132	0.002996979
Ficedula albicollis	Aves	F.albicollis	30843	771	9007	0.107	119710089	1118343587	1102325870	0.005850309	0.002200599	0.00066856	0.000367476	0.000187862	7.37E-05
Fukomys damarensis	Mammalia	F.damarensis	162545	15189	87815	0.2462	574590743	2333892479	2285984782	0.002277006	0.001155916	0.000492754	1.92E-05	1.03E-05	5.13E-06
Fundulus heteroclitus	Actinopteri	F.heteroclitus	120722	14865	110543	0.3412	348638476	1021882034	932470884	0.001225437	0.00047468	0.000109513	1.63E-05	7.06E-06	2.78E-06
Gadus morhua	Actinopteri	G.morhua	1441	169	1215	0.365	244525459	669949713	646375971	0.042887958	0.037677464	0.03337388	0.001516029	0.000728162	0.000330222
Gallus gallus	Livestock animals	G.gallus	677	18	463	0.1223	128833013	1053332251	1049948333	0.086260745	0.028080652	0.011035356	0.01788131	0.008616628	0.002445959
Haplochromis burtoni	Actinopteri	H.burtoni	69074	8930	61073	0.1931	160565950	831411547	698949643	0.00143634	0.000565869	0.000148698	2.63E-05	1.26E-05	5.66E-06
Homo sapiens	Human & Mouse	H.sapiens	1581	19	661	0.454	1407412269	3272116950	3110748599	0.01814251	0.009687734	0.002165217	0.017240537	0.007180741	0.001395799
Ictalurus punctatus	Actinopteri	I.punctatus	34543	2838	24569	0.4058	317819511	783258224	771876309	0.009864954	0.00291306	0.000636522	9.86E-05	4.80E-05	2.06E-05
Ictidomys tridecemlineatus	Mammalia	I.tridecemlineatus	153488	14002	141005	0.288	713720475	2478393770	2311060300	0.003305684	0.001596772	0.000456594	1.78E-05	7.84E-06	3.04E-06
Kryptolebias marmoratus	Actinopteri	K.marmoratus	26349	2931	23277	0.2628	178828930	680349455	641824287	0.003277226	0.000930325	0.000255852	8.51E-05	3.68E-05	1.66E-05
Labrus bergylta	Actinopteri	L.bergylta	13723	282	257	0.3104	250032533	805480521	805342730	0.000986551	0.000156309	1.94E-05	0.000873822	0.000144085	1.93E-05
Larimichthys crocea	Actinopteri	L.crocea	16979	605	6981	0.1981	130350154	657939568	655774215	0.041094443	0.032549027	0.009795079	0.000421752	0.000167736	5.52E-05
Lates calcarifer	Actinopteri	L.calcarifer	3917	139	110	0.1764	117923782	668464831	668453369	0.001782242	0.000762513	7.62E-05	0.001594874	0.000683046	7.44E-05
Leptobrachium leishanense	Amphibia	L.leishanense	8584	489	3282	0.7093	2517285802	3549060464	3548732264	0.111210572	0.047020455	0.031350957	0.000548404	0.000212885	6.33E-05
Macaca fascicularis	Mammalia	M.fascicularis	1496	43	560	0.4578	1330472202	2906138557	2868310672	0.05174494	0.03823321	0.027225265	0.007344674	0.00358289	0.001083589
Macaca mulatta	Mammalia	M.mulatta	3181	22	203	0.4711	1399881362	2971314966	2936876169	0.027713657	0.015363066	0.008144641	0.015686309	0.006452943	0.001821805
Macaca nemestrina	Mammalia	M.nemestrina	94057	7388	84324	0.4345	1281237664	2948703511	2838486523	0.005161507	0.002975722	0.001270303	3.63E-05	1.61E-05	6.26E-06
Mastacembelus armatus	Actinopteri	M.armatus	358	25	236	0.1914	113300486	591935101	578703761	0.042386932	0.036032029	0.033240019	0.013539513	0.005280499	0.001786243
Meleagris gallopavo	Aves	M.gallopavo	250220	11318	62525	0.141	157320883	1115474681	1080180254	0.003494559	0.000798635	5.16E-06	2.43E-05	1.05E-05	1.47E-06
Meriones unguiculatus	Mammalia	M.unguiculatus	143856	11954	75064	0.2846	718118378	2523107715	2402553580	0.000148502	4.91E-05	1.30E-05	1.84E-05	7.25E-06	2.93E-06
Mesocricetus auratus	Mammalia	M.auratus	237699	25781	216216	0.2072	518963316	2504908775	2076159990	0.005091326	0.00284806	0.00083223	8.99E-06	4.12E-06	1.71E-06
Monodelphis domestica	Mammalia	M.domestica	72811	9459	67676	0.4996	1798782880	3600487649	3501643220	0.146633499	0.084662233	0.072450722	3.00E-05	1.53E-05	7.26E-06
Monopterus albus	Actinopteri	M.albus	71878	8438	51257	0.2398	164087641	684127526	629299392	0.003078844	0.001395659	0.000594604	3.25E-05	1.68E-05	7.87E-06
Mus musculus	Human & Mouse	M.musculus	306	15	204	0.3606	983915042	2728222451	2654621837	0.038906285	0.030156934	0.01615274	0.021795463	0.011436342	0.006018487
Mus spretus	Mammalia	M.spretus	280393	37990	274989	0.2794	733540595	2625587472	2338264942	0.050253704	0.044630647	0.03595995	6.81E-06	3.57E-06	1.75E-06
Mustela putorius furo	Mammalia	M.putorius	117482	14472	109700	0.3152	759758701	2410863155	2278011712	0.003872121	0.002241595	0.000882289	1.86E-05	9.20E-06	4.23E-06
Myotis lucifugus	Mammalia	M.lucifugus	72785	8574	61131	0.3098	630336360	2034575300	1966419868	0.002110177	0.000669506	0.000114145	3.16E-05	1.49E-05	6.05E-06
Neolamprologus brichardi	Actinopteri	N.brichardi	118196	13506	109098	0.1055	89413656	847893845	685907315	0.00522474	0.0020534	0.000553574	1.54E-05	6.13E-06	2.28E-06
Nothobranchius furzeri	Actinopteri	N.furzeri	74940	12601	68928	0.3439	427267038	1242498532	856810559	0.012763155	0.004555199	0.000117246	1.61E-05	8.53E-06	4.39E-06
Numida meleagris	Aves	N.meleagris	16014	1259	13275	0.0999	104192062	1043264150	1023144302	0.007541748	0.002711121	0.001163388	0.000225184	0.000111128	4.93E-05
Oncorhynchus kisutch	Actinopteri	O.kisutch	8771	458	4684	0.5192	1233533461	2375911594	2375443194	0.028732424	0.019898855	0.000246897	0.000487938	0.000153668	5.07E-05
Oncorhynchus mykiss	Actinopteri	O.mykiss	1228	41	290	0.5503	1288692758	2341671972	2335487453	0.016725378	0.006099805	0.001052003	0.006653243	0.002089015	0.000502633
Oncorhynchus tshawytscha	Actinopteri	O.tshawytscha	69484	4051	53539	0.5186	1257892099	2425697331	2359029986	0.000712506	0.00019187	5.97E-05	5.49E-05	1.63E-05	6.55E-06
Oreochromis niloticus	Actinopteri	O.niloticus	3009	96	550	0.3864	388612835	1005664923	1005609923	0.038620704	0.035349271	0.030355455	0.002907171	0.001150158	0.000320066
Oryctolagus cuniculus	Mammalia	O.cuniculus	84024	12076	80706	0.375	1026454166	2737473256	2604006039	0.013140903	0.004788819	0.000526992	2.36E-05	1.26E-05	6.19E-06
Oryzias latipes	Actinopteri	O.latipes	515	88	491	0.3756	275740867	734040372	733549372	0.042529713	0.039475504	0.034574488	0.003447949	0.001817761	0.000890071
Oryzias melastigma	Actinopteri	O.melastigma	56274	6936	47672	0.3463	269925601	779452910	738226724	0.030453651	0.020439421	0.000832724	3.86E-05	1.90E-05	8.82E-06
Ovis aries	Livestock animals	O.aries	130764	18404	125067	0.3894	1019798506	2619037772	2534327564	0.038212319	0.027384033	0.019408858	1.54E-05	8.11E-06	4.08E-06
Pan paniscus	Mammalia	P.paniscus	121356	11048	110372	0.379	1245522434	3286643938	2725937204	0.002494132	0.001159159	0.000528597	2.03E-05	8.62E-06	3.42E-06
Pan troglodytes	Mammalia	P.troglodytes	72225	2195	26715	0.4662	1506448076	3231154112	3132603083	0.008347654	0.002304716	0.000225647	0.000119096	5.38E-05	1.64E-05
Papio anubis	Mammalia	P.anubis	15212	545	4068	0.4613	1323876455	2869804647	2867493934	0.048879594	0.037232151	0.025400477	0.00051048	0.000235751	9.99E-05
Paramormyrops kingsleyae	Actinopteri	P.kingsleyae	47999	5450	43332	0.2016	161182884	799421083	735547248	0.002165515	0.000977991	0.000263291	4.71E-05	2.14E-05	8.92E-06
Parus major	Aves	P.major	24044	1868	22369	0.0689	70267799	1020310768	1002310834	0.06994464	0.0246065	0.013545761	0.000145733	6.59E-05	2.46E-05
Pelodiscus sinensis	Reptilia	P.sinensis	205379	28686	185476	0.402	885330611	2202466388	2106622020	0.001521362	0.000611112	0.000208438	9.99E-06	5.28E-06	2.57E-06
Phascolarctos cinereus	Mammalia	P.cinereus	1906	85	0	0.3632	1159463082	3192565135	3192565135	0.003629629	0.002148006	0.001056567	0.003629629	0.002148006	0.001056567
Piliocolobus tephrosceles	Mammalia	P.tephrosceles	111069	8493	63620	0.4504	1368287671	3038007327	2949702452	0.004455181	0.001626809	0.000244125	3.24E-05	1.49E-05	5.65E-06
Podarcis muralis	Lepidosauria	P.muralis	6245	622	4085	0.0681	102850039	1511002858	1508085356	0.061150214	0.04033718	0.030735254	0.000472939	0.000241731	0.000110285
Poecilia latipinna	Actinopteri	P.latipinna	54625	5928	36637	0.1922	156676233	815144743	679780316	0.000342516	0.000166229	6.96E-05	4.08E-05	2.03E-05	8.77E-06
Poecilia mexicana	Actinopteri	P.mexicana	50601	4911	32496	0.1943	155733075	801711499	679832124	0.00034341	0.000162177	6.76E-05	4.97E-05	2.38E-05	9.83E-06
Poecilia reticulata	Actinopteri	P.reticulata	40144	4424	37115	0.226	165370781	731622281	664638573	0.007203661	0.003384378	0.001396736	5.73E-05	2.55E-05	1.06E-05
Pogona vitticeps	Lepidosauria	P.vitticeps	631240	15328	85930	0.3361	610427503	1816116151	1747559597	0.001261233	0.000503313	0.000110671	1.83E-05	8.94E-06	2.83E-06
Pundamilia nyererei	Actinopteri	P.nyererei	68053	8701	60817	0.1969	163462528	830133247	698761080	0.003042331	0.001227475	0.000312834	2.73E-05	1.30E-05	5.76E-06
Rattus norvegicus	Mammalia	R.norvegicus	757	27	581	0.3664	970237970	2647915728	2626580772	0.050988227	0.039610793	0.03165842	0.011026897	0.004380209	0.001426542
